UserID,Scheme,Total Attempts,Successful Attempts,Failed Attempts,Successful Times (s),Failed Times (s)
ast103,Text21,22,16,1,[14 5 25 25 4 6 4 16 4 3 7 5 6 55 13 3],[18]
ast104,Text21,38,16,10,[10 11 9 8 9 14 11 11 9 7 11 13 22 13 14 19],[14 12 26 13 11 10 13 8 19 14]
ast105,Text21,20,12,3,[7 9 7 12 5 7 7 5 4 6 8 8],[14 4 7]
ast107,Text21,27,15,6,[4 7 9 7 7 5 4 3 3 4 6 3 4 6 5],[6 5 4 15 5 4]
ast108,Text21,23,19,0,[3 4 3 2 3 4 4 7 3 3 4 3 7 14 4 3 3 3 3],[]
ast111,Text21,25,12,8,[6 10 9 8 6 7 10 11 5 6 165 8],[13 19 7 6 7 11 5 5]
ast112,Text21,18,15,0,[6 7 7 7 6 7 6 7 7 7 6 11 13 10 9],[]
ast114,Text21,28,15,7,[8 7 12 8 22 8 14 11 10 20 8 9 10 12 8],[7 12 14 10 7 7 12]
ast115,Text21,21,15,0,[5 6 25 15 7 6 9 20 10 16 5 12 16 9 7],[]
ast116,Text21,21,15,0,[6 5 8 7 5 4 4 6 7 6 6 4 9 7 5],[]
ast118,Text21,23,15,1,[5 7 7 6 6 7 7 9 8 8 7 11 9 9 11],[9]
ast125,Text21,25,15,3,[6 5 15 7 4 5 5 4 4 4 6 4 6 7 14],[4 8 6]
ast131,Text21,25,15,6,[6 19 30 10 7 7 25 9 8 8 17 8 13 7 7],[11 8 8 49 9 50]
ast133,Text21,12,9,0,[12 16 25 10 9 22 10 16 11],[]
ast134,Text21,19,15,0,[5 5 5 13 5 6 5 4 10 7 5 16 5 11 11],[]
ast135,Text21,8,3,1,[7 6 9],[5]
ast136,Text21,18,15,0,[8 23 8 8 15 8 11 8 10 9 8 10 10 12 7],[]
ast138,Text21,19,16,0,[16 13 17 17 11 11 11 12 31 16 24 11 18 14 14 15],[]
ipt101,Image21,36,16,16,[8 13 11 11 10 18 13 11 10 10 6 12 16 11 10 12],[16 8 31 16 47 8 23 93 16 43 40 22 32 17 19 19]
ipt104,Image21,18,12,0,[22 34 20 21 9 25 30 27 19 22 15 19],[]
ipt105,Image21,49,15,7,[7 6 7 5 9 10 7 8 7 6 10 33 10 6 6],[11 7 7 14 28 19 17]
ipt106,Image21,27,15,6,[6 4 18 15 8 10 18 19 12 10 8 14 16 316485 11],[9 12 5 7 10 14]
ipt109,Image21,22,15,0,[9 17 38 21 17 15 15 31 28 36 11 14 56 22 17],[]
ipt110,Image21,25,15,4,[11 15 10 18 13 11 10 7 9 12 8 13 10 11 15],[18 21 116 11]
ipt113,Image21,35,17,12,[5 5 72 10 14 10 7 6 4 4 9 5 5 5 4 9 5],[13 6 13 12 4 4 6 4 10 12 11 11]
ipt119,Image21,21,16,2,[12 9 9 26 14 11 12 6 6 11 9 11 11 9 61 10],[8 9]
ipt131,Image21,19,12,3,[35 31 40 43 54 20 33 74 33 20 28 38],[55 52 30]
ipt133,Image21,19,15,1,[6 14 14 258323 16 11 21 16 16 16 12 18 12 15 20],[6]
ipt134,Image21,24,15,5,[5 20 18 28 21 13 29 29 48 22 8 23 18 21 16],[31 24 24 132 18]
ipt136,Image21,28,15,3,[8 20 10 7 12 17 16 11 11 15 11 13 16 10 10],[21 16 15]
ipt137,Image21,28,16,4,[12 19 15 15 24 19 30 31 21 26 19 18 19 14 14 17],[16 15 16 41]
ipt143,Image21,26,15,3,[8 5 6 5 38 8 7 27 11 10 5 10 252016 30 11],[23 14 10]
ipt145,Image21,19,15,1,[21 27 24 20 24 18 31 41 20 25 22 27 29 19 23],[34]
